COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
432160;TRAMANDAI;85.28;28.02;2.97;615;3.8;7.92;15926.04;0.17;97.58;0.5191;33.36;69.32;71.01874542;7.475657463;82.35294342;53507
432162;TRAVESSEIRO;87.5;9.08;0.61;727;4.3;0;22984.73;4.14;38.33;0.3516;0;0;0;0;0;2331
432163;TRES ARROIOS;111.76;7.25;0.81;961;4.6;0;36016.37;4.54;35.97;0.6236;100;100;0;0;0;2620
432166;TRES CACHOEIRAS;19.67;14.91;0.96;484;6.1;2.77;15167.3;2.07;73.42;0.3947;31.21;58.36;8.949346542;0;0;11174
432170;TRES COROAS;81.72;9.56;0.29;587;5.4;1.47;30393.46;0.85;86.15;0.4068;36.68;47.31;20.72681999;0;100;28948
432180;TRES DE MAIO;66.67;19.73;1.34;639;3.8;4.15;26913.58;5.55;79.92;0.5075;100;100;8.387150764;0;100;23846
432183;TRES FORQUILHAS;47.06;32.49;4.13;412;15.5;1.32;14240.29;3.86;13.21;0.4213;100;100;37.83579254;0;0;2643
432185;TRES PALMEIRAS;88.89;31.93;8.53;517;11.8;2.41;21354.09;9.54;47.71;0.6189;100;100;0;0;0;4232
432190;TRES PASSOS;94.97;16.13;2.26;523;4.8;2.88;21965.31;2.72;79.51;0.4586;100;100;8.40371418;0;100;23799
432195;TRINDADE DO SUL;131.65;36.91;9.81;357;12.2;3.27;21570.77;10.13;50.1;0.4977;100;100;34.59609222;0;0;5781
432200;TRIUNFO;84.9;21.54;1.71;515;6.3;4.22;215393.6;1.97;65.35;0.4441;93.44;100;29.84183884;3.315759897;97.43589783;30159
432210;TUCUNDUVA;80;17.2;1.81;676;4.6;3.95;25373.86;2.28;68.41;0.4775;100;100;0;0;0;5612
432215;TUNAS;83.02;37.26;8.38;355;11.6;1.72;13868.66;36.09;31.29;0.4689;100;100;0;0;0;4585
432218;TUPANCI DO SUL;53.33;38.69;9.38;471;10;0.3;24176.85;14.21;30.07;0.5293;100;100;0;0;0;1447
432220;TUPANCIRETA;78.6;34.66;3.01;569;4.3;4.37;42574.11;14;80.88;0.5839;57.62;82.68;20.67653656;0;100;24182
432225;TUPANDI;128.33;4.11;0.05;726;1.9;1.05;74204.24;0.23;69.34;0.3077;71.06;100;19.9242878;0;100;5019
432230;TUPARENDI;101.23;19.45;1.58;628;5.4;1.26;23730.82;6.1;61.87;0.4606;100;100;0;0;0;7730
432232;TURUCU;108.33;35.56;4.02;523;7.5;4.15;19888.68;19.09;42.22;0.4942;100;100;0;0;0;3408
432234;UBIRETAMA;123.08;18.73;1.22;489;4.3;0.87;19385.27;6.2;21.78;0.358;100;100;0;0;0;1952
432235;UNIAO DA SERRA;11.11;3.23;0.2;927;3.9;0.56;30199.1;6.11;18.83;0.3735;100;100;0;0;0;1084
432237;UNISTALDA;131.25;48.53;6.92;372;9.8;4.47;17898.76;39.54;37.27;0.4714;100;100;0;0;0;2306
432240;URUGUAIANA;91.19;33.8;3.12;469;3.7;8.48;16065.35;2.37;93.61;0.5786;35.32;43.43;50.48672485;4.733130455;91.42857361;126766
432250;VACARIA;79.74;24.05;0.97;447;5.4;4.54;25759.85;2.22;93.47;0.5289;46.89;73.94;49.31555939;4.483232498;50;66916
432252;VALE VERDE;75;41.18;4;419;10.3;1.04;18608.34;17.18;27.11;0.4975;98.66;100;0;0;0;3531
432253;VALE DO SOL;87.21;30.3;5.85;406;5.3;0.46;16857.92;12.11;11.28;0.4504;100;100;0;0;0;11873
432254;VALE REAL;83.95;5.85;0.16;636;2.2;2.09;16004.65;1.5;89.21;0.2947;100;100;49.61958313;0;0;6046
432255;VANINI;55;9.42;0.56;594;6.3;1.81;22764.87;0.63;50.45;0.3548;100;100;0;0;0;2130
432260;VENANCIO AIRES;86.57;17.09;1.02;496;4.9;2.14;37384.46;4.83;62.78;0.465;28.93;64.27;13.81730747;0;0;72373
432270;VERA CRUZ;83.46;18.61;1.64;486;4.7;4;22345.59;2.76;55.54;0.4845;51.37;100;36.59652328;0;100;27325
432280;VERANOPOLIS;104.92;10.56;0.15;757;3;3.21;35845.88;1;86.99;0.4836;52.59;90.55;11.18860245;0;100;26813
432285;VESPASIANO CORREA;176.92;4.44;0.82;696;5.2;0.35;25795.86;2.89;20.57;0.3461;100;100;0;0;0;1776
432290;VIADUTOS;80.56;21.85;3.8;538;5.5;0.98;22125.22;9.95;49.76;0.4283;100;100;21.60760498;0;0;4628
432300;VIAMAO;99.14;24.07;1.92;648;3.8;6.69;10722.18;0.52;93.97;0.4855;0;6.36;55.95927429;4.274666786;72.92817688;257330
432310;VICENTE DUTRA;117.78;43.61;10.74;300;11.2;1.39;14623.56;14.67;44.48;0.5218;100;100;0;0;0;4530
432320;VICTOR GRAEFF;55.56;8.62;0.37;928;2.8;1.52;47812.65;5.28;42.29;0.4669;100;100;0;0;0;2840
432330;VILA FLORES;143.24;8.47;0.5;587;1.1;1.13;41659.84;5.36;42.03;0.3253;0;0;58.70267105;0;42.8571434;3407
432335;VILA LANGARO;138.89;22.83;1.15;876;5.4;0.43;39498.72;2.36;17.01;0.4985;100;100;0;0;0;2070
432340;VILA MARIA;100;5.55;0.17;1048;4.2;0.61;43667.07;0.3;53.28;0.407;79.16;100;45.78754425;22.89377213;0;4368
432345;VILA NOVA DO SUL;88.46;40;4.01;396;7.9;6.98;17820.03;26.55;51.98;0.4549;80.61;100;23.39728546;0;0;4274
432350;VISTA ALEGRE;72.41;25.07;6.52;569;7.7;2.55;18228.74;29.56;41.84;0.5715;100;100;0;0;0;2726
432360;VISTA ALEGRE DO PRATA;22.22;5.16;0.98;1013;2.1;0.57;26784.36;12.08;29.51;0.4407;0;0;0;0;0;1553
432370;VISTA GAUCHA;83.33;23.62;2.21;576;6.7;1.34;18804.86;19.75;34.98;0.6085;100;100;34.98950195;0;0;2858
432375;VITORIA DAS MISSOES;129.63;39.67;8.67;361;10.3;1.01;18283.89;2.94;19.2;0.4928;100;100;0;0;0;3052
432377;WESTFALIA;102.5;3.05;0.29;984;1.7;0.4;35743.98;0.46;40.46;0.3301;100;100;0;0;0;3046
432380;XANGRI-LA;92.77;13.93;0.77;985;3;2.89;22553.18;0.18;99.56;0.4355;84.11;100;46.71260071;0;100;17126
500020;AGUA CLARA;98.77;29.04;1.21;452;9.3;4.37;33498.72;25.54;66.54;0.5081;44.45;63.78;43.68174744;0;100;16025
500025;ALCINOPOLIS;73.81;24.84;0.93;666;10.2;3.03;26133.98;32.33;68.64;0.5473;64.57;100;54.65476227;0;100;5489
500060;AMAMBAI;147.76;42.02;8.1;242;9.7;4.96;17224.77;16.1;64.43;0.5628;78.82;78.82;77.02437592;9.93862915;99.10713959;40247
500070;ANASTACIO;6.22;39.65;4.92;404;13.9;6.31;11756.83;12.34;82.54;0.4811;100;100;55.25733948;3.946953058;100;25336
500080;ANAURILANDIA;114.55;40.42;3.87;423;12.6;6.67;20769.85;36.89;50.89;0.522;100;100;10.9697237;0;0;9116
500085;ANGELICA;82.81;24.21;1.53;424;11.9;5.26;43858.29;16.61;83.73;0.4282;100;100;0;0;0;11081
500090;ANTONIO JOAO;84.48;53.46;10.72;275;14;4.79;14762.53;17.56;83.19;0.5604;100;100;88.0863266;0;0;9082
500100;APARECIDA DO TABOADO;122.66;21.82;0.98;561;9;5.98;33659;9.03;90.04;0.4802;80.4;80.4;3.78988862;7.579777241;0;26386
500110;AQUIDAUANA;91.33;42.7;5.17;319;8.4;6.32;14219.87;12.35;78.76;0.5622;100;100;122.4472885;4.150755405;100;48184
500124;ARAL MOREIRA;87.57;55.48;9.21;336;15.6;2.89;41833.2;29.84;52.26;0.5366;100;100;39.96483231;0;100;12511
500150;BANDEIRANTES;63.22;34.73;2.18;633;10.8;6.05;33406.78;31.74;68.57;0.5187;100;100;0;0;0;7281
500190;BATAGUASSU;44.69;27.7;1.94;410;9.7;6.44;23312.52;12.27;76.81;0.4878;89.91;100;4.233700275;4.233700275;50;23620
500200;BATAYPORA;139.04;35.36;2.88;401;12.4;5.36;27342.9;24.06;76.18;0.5654;100;100;35.18648911;8.796622276;100;11368
500210;BELA VISTA;105.88;47.88;7.76;306;8.3;4.74;14605.25;16.05;81.65;0.6165;56.03;56.03;16.10176277;4.025440693;100;24842
500215;BODOQUENA;58.77;41.94;3.99;327;11.6;5.53;22689.22;13.84;72.35;0.5133;100;100;0;0;0;7802
500220;BONITO;88.18;32.69;1.86;490;7.7;4.06;20853.63;10.28;82.5;0.5452;78.49;100;40.17677689;0;75;22401
500230;BRASILANDIA;123.31;24.71;1.26;454;11.4;6.29;36965.34;16.9;67.76;0.5143;87.18;100;76.04562378;0;100;11835
500240;CAARAPO;95.96;35.59;6.74;280;11.3;5.27;32177.97;17.17;71.06;0.5054;45.73;45.73;41.92872238;3.225286245;100;31005
500260;CAMAPUA;90.85;25.32;1.89;470;8.9;5.74;21309.73;20.06;71.9;0.5023;100;100;7.312614441;7.312614441;0;13675
500270;CAMPO GRANDE;55.26;18.62;0.91;445;3.8;6.22;24839.24;0.73;98.66;0.572;62.76;66.97;58.84273148;4.039297104;89.94345856;916001
500280;CARACOL;100;43.99;4.23;451;7.4;2.49;15641.06;30.53;59.99;0.4334;100;100;48.02305222;0;100;6247
500290;CASSILANDIA;81.03;21.99;1.09;462;10.3;5.84;19539.83;8.11;90.66;0.5503;94.35;100;45.32475281;0;100;22063
500295;CHAPADAO DO SUL;87.55;14.93;0.49;608;4.7;3.93;52716.2;7.73;85.39;0.473;27.36;39.26;49.05845642;0;100;26499
500310;CORGUINHO;17.95;37.52;3.49;411;12.4;5.54;14719.02;19.99;38.5;0.5368;100;100;16.23903847;0;0;6158
