COD;MUNI;cv_bcg;prop_populacao_com_renda_menosqmeio_SM;prop_populacao_pobreza_extrema;Renda_media_domic_per_capita;Taxa_de_analfabetismo;Taxa_de_desemprego_16a_emais;PIB_per_capita;Saneamento_inadequado;Taxa_urbanizacao;Gini;CoberturaESF;CoberturaAB;Inc_tb22;mort_tb22;prop_cont22;populacao_residente
110001;ALTA FLORESTA D'OESTE;114.41;48.42;7.7;306;12;5.01;13231.01;40.94;57.27;0.5893;90.22;90.22;4.441286087;4.441286087;40;22516
110002;ARIQUEMES;112.61;31.05;2.99;349;7.9;4.64;17566.27;14.46;84.7;0.5496;44.78;44.78;24.29193497;1.799402595;78.57142639;111148
110003;CABIXI;94.2;48.17;4;324;13.8;2.49;14828.03;31.14;42.66;0.5166;100;100;39.47108841;0;0;5067
110004;CACOAL;124.6;32.1;3.65;367;8.3;5.87;16480.36;18.56;78.81;0.589;68.71;89.9;17.3578968;0;84.21052551;86416
110005;CEREJEIRAS;110.78;36.99;4.17;401;10.4;5.24;18918.8;19.97;84.67;0.5147;84.54;84.54;18.64743996;0;100;16088
110006;COLORADO DO OESTE;170.44;40.26;4.15;339;12.9;6.32;12619.5;26.83;73.46;0.5154;86.89;86.89;13.14665127;0;100;15213
110007;CORUMBIARA;65.42;46.47;7.51;343;12;3.45;18667.54;51.94;29.49;0.4852;100;100;14.18037415;0;100;7052
110008;COSTA MARQUES;100;57.4;12.87;311;9.1;4.64;9439.74;38.56;54.81;0.5239;94.1;94.1;20.77382469;0;90;19255
110009;ESPIGAO D'OESTE;63.91;37.43;4.72;321;9.4;4.51;13303.62;26.59;71.74;0.5399;63.94;63.94;15.14738369;0;33.33333206;33009
110010;GUAJARA-MIRIM;70.98;46.22;8.22;210;9;6.84;16774.11;16.74;84.52;0.5586;97.13;100;53.27082825;4.261666298;100;46930
110011;JARU;93.61;34.24;4.18;361;10.6;5.16;19122.65;27.35;67.53;0.5081;100;100;23.31500435;1.942917109;100;51469
110012;JI-PARANA;120.25;28.65;2.31;350;7.6;5.61;18143.58;11.66;89.92;0.5449;77.58;77.58;30.5282917;0;89.88764191;131026
110013;MACHADINHO D'OESTE;77.01;52.78;11.9;251;12.7;3.64;11143.82;47.05;51.94;0.5596;69.02;69.02;26.36372375;4.793404102;100;41724
110014;NOVA BRASILANDIA D'OESTE;131.3;48.05;11.45;278;11.2;3.54;10693.14;55.78;42.17;0.5688;84.25;84.25;4.87709713;4.87709713;0;20504
110015;OURO PRETO DO OESTE;70.83;31.92;3.25;395;10;7.35;13796.6;21.58;74.3;0.4947;100;100;8.463817596;0;0;35445
110018;PIMENTA BUENO;112.09;26.73;2.12;356;8;5.24;20785.48;9.4;86.98;0.55;75.29;75.29;0;0;0;37098
110020;PORTO VELHO;76.12;25.3;2.04;404;5.2;5.63;23638.78;8.06;91.18;0.5745;52.77;65.33;60.84320831;2.732479334;32.5966835;548952
110025;PRESIDENTE MEDICI;114.67;41.11;5.56;335;11.5;5.24;12719.62;40.72;59.6;0.5281;100;100;5.505092144;0;0;18165
110026;RIO CRESPO;77.08;54.5;9.43;357;11.4;6.81;17301.58;45.74;32.09;0.5783;100;100;26.02133751;0;0;3843
110028;ROLIM DE MOURA;156.67;33.41;2.57;370;8.9;6.5;16632.7;16.02;81.8;0.5401;87.73;93.17;12.55650425;0;80;55748
110029;SANTA LUZIA D'OESTE;66.67;41.21;6.36;353;13.4;8.29;14208.24;56.37;50.92;0.4972;100;100;16.82934952;0;0;5942
110030;VILHENA;172.12;23.41;1.56;346;6.3;6.9;22512.01;3.88;94.77;0.509;79.47;79.47;2.870346546;0.956782162;87.5;104517
110032;SAO MIGUEL DO GUAPORE;83.2;54.43;12.77;272;10.3;3.6;16701.73;48.04;38.8;0.6308;15;15;12.96064281;0;75;23147
110033;NOVA MAMORE;75.89;54.2;10.96;244;12.6;3.74;11739.5;49.79;57.96;0.5357;56.4;56.4;12.42853546;0;85.7142868;32184
110034;ALVORADA D'OESTE;85.71;45.33;7.48;307;13.3;4.98;10993.43;41.81;52.36;0.5355;95.76;100;14.48540592;0;100;13807
110037;ALTO ALEGRE DOS PARECIS;134.25;56.22;14.57;270;14.5;5.63;13222.71;61.77;28.53;0.5491;100;100;0;0;0;13268
110040;ALTO PARAISO;128.44;44.7;8.15;286;13.5;2.49;10987.82;52.55;47.87;0.5417;48.3;48.3;13.47830009;0;100;22258
110045;BURITIS;138.58;43.03;8.29;295;11.1;5.11;11658.34;35.16;55.96;0.5017;60.9;73.46;12.18234539;0;100;41043
110050;NOVO HORIZONTE DO OESTE;203.85;56.53;10.25;309;14.4;4.04;10766.65;56.49;16.92;0.5214;80.82;80.82;24.61538506;0;100;8125
110060;CACAULANDIA;107.14;45.69;7.03;435;13.7;3.65;15780.23;57.74;36.07;0.5579;100;100;0;0;0;6307
110070;CAMPO NOVO DE RONDONIA;61.27;54.88;12.29;261;11.3;2.67;12886.18;53.81;26.62;0.6705;73.2;73.2;13.89757442;0;100;14391
110080;CANDEIAS DO JAMARI;110.17;39.53;4.05;351;11.5;4.41;14270.46;37.19;65.15;0.4762;100;100;32.06498337;7.125552177;0;28068
110090;CASTANHEIRAS;118.92;41.68;6.02;376;13.1;3.19;14441.8;65.43;23.38;0.4996;100;100;0;0;0;2923
110092;CHUPINGUAIA;166.67;38.35;4.54;375;10.8;3.07;23416.35;33.09;44.13;0.4752;100;100;76.56316376;17.01403618;100;11755
110094;CUJUBIM;83.74;41.39;6.41;336;13;5.94;12838.31;38.01;69.65;0.525;41.05;41.05;11.05746174;0;0;27131
110100;GOVERNADOR JORGE TEIXEIRA;91.86;55.12;11.73;327;14.4;2.17;13344.93;55.07;22.46;0.5571;100;100;42.075737;0;0;7130
110110;ITAPUA DO OESTE;105.04;45.55;6.76;320;12.3;5.02;30334.43;40.66;60.96;0.4771;98.97;98.97;27.72899437;0;0;10819
110120;MINISTRO ANDREAZZA;102.7;49.57;7.57;346;12;2.14;13262.01;60.82;29.69;0.5588;100;100;31.7091217;0;0;9461
110130;MIRANTE DA SERRA;47.02;48.94;8.87;328;13.1;6.33;10763.76;49.99;54.25;0.6102;94.55;94.55;0;0;0;10691
110140;MONTE NEGRO;84.43;43.85;7.4;324;13.9;2.83;13193.12;52;52.44;0.4813;65.29;65.29;12.37776947;0;100;16158
110143;NOVA UNIAO;127.59;53.51;11.1;296;14.3;3.67;11010.63;74.62;20.57;0.4665;49.5;49.5;0;0;0;6822
110145;PARECIS;118.64;58.53;8.77;315;15.4;1.9;12990.92;60.19;36.88;0.5315;100;100;15.82528877;0;0;6319
110146;PIMENTEIRAS DO OESTE;182.05;38.79;5.68;550;8.9;6.63;31906.26;29.71;55.81;0.4964;100;100;94.02915192;47.01457596;0;2127
110147;PRIMAVERA DE RONDONIA;110.53;47.11;8.49;403;14.9;6.81;13294.33;46.25;36.44;0.5188;100;100;0;0;0;2697
110148;SAO FELIPE D'OESTE;73.85;50.43;8.61;336;16.9;4.81;11402.95;49.94;23.99;0.4695;100;100;0;0;0;4962
110149;SAO FRANCISCO DO GUAPORE;105.26;48.98;8.78;311;9.1;4.87;13429.68;50.72;51.31;0.5684;100;100;4.742033482;0;100;21088
110150;SERINGUEIRAS;93.83;60.32;11.46;276;11;4.26;12573.3;45.96;37.81;0.6384;100;100;8.44166851;0;100;11846
110155;TEIXEIROPOLIS;154.76;34.22;4.46;473;11.9;3.4;13334.62;63.39;35.11;0.4346;80.08;80.08;0;0;0;4160
110160;THEOBROMA;76.52;54.48;11.55;308;14.5;5.05;11302.75;67.28;18.57;0.5763;100;100;19.32740593;0;100;10348
110170;URUPA;78.32;51.59;7.77;331;14.8;4.89;11168.46;54.82;39.59;0.5165;90.26;90.26;18.04891205;0;100;11081
110175;VALE DO ANARI;98.61;57.74;13.49;310;15.5;3.99;9483.23;64.75;34.02;0.5727;61.59;61.59;17.32351685;0;0;11545
110180;VALE DO PARAISO;120.97;56.43;10.67;351;11.7;3.16;12838.96;66.08;27.72;0.5885;100;100;15.40832043;0;0;6490
120001;ACRELANDIA;37.55;65.23;15.6;254;15.9;9.04;16067.93;50.01;47.18;0.5464;100;100;25.44367409;0;100;15721
120005;ASSIS BRASIL;84.19;66.72;19.83;151;20.4;7.68;9959.36;35.15;60.94;0.6228;100;100;39.22081375;0;100;7649
120010;BRASILEIA;80.27;62.99;15.94;205;20.3;5.9;12901.43;27.81;66.63;0.5945;100;100;40.5559845;0;100;27123
120013;BUJARI;85.06;64.24;15.42;262;25.1;3.41;13352.19;45.24;43.6;0.5832;100;100;66.21263885;0;87.5;10572
120017;CAPIXABA;41.05;60.04;15.15;237;21.8;4.2;16139.48;44.88;44.66;0.5627;100;100;16.28664589;0;100;12280
120020;CRUZEIRO DO SUL;123.6;57.69;15.59;185;18.7;7.62;12123.84;23.52;70.47;0.6438;100;100;17.82531166;1.114081979;100;89760
120025;EPITACIOLANDIA;79.86;54.21;12.99;216;15.7;6.88;16644.35;27.4;70.32;0.607;93.69;93.69;36.88286972;0;100;18979
120030;FEIJO;58.81;76.05;32.93;92;36.8;5.8;8252.41;45.47;51.33;0.6774;79.36;79.36;42.87429428;0;100;34986
120032;JORDAO;81.46;82.13;36.59;102;25.6;5.82;8158;61.7;34.54;0.7112;82.96;82.96;11.59017181;11.59017181;100;8628
120033;MANCIO LIMA;74.76;69.03;27.18;163;23.1;5.28;9141.31;28.78;57.54;0.6102;100;100;45.81784821;0;100;19643
120034;MANOEL URBANO;49.64;65.26;23.91;144;31.6;2.6;9549.34;34.98;66.13;0.5939;100;100;61.84929276;0;100;9701
120035;MARECHAL THAUMATURGO;78.44;82.97;37.93;117;34.8;5.12;9220.21;64.36;27.9;0.5938;91.43;91.43;15.20758343;0;42.8571434;19727
120038;PLACIDO DE CASTRO;41.75;64.14;14.64;244;18.8;8.02;11202.95;40.49;60.33;0.575;100;100;19.85407257;4.963518143;100;20147
120039;PORTO WALTER;60.28;76.87;32.06;154;34.9;2.91;8086.83;60.46;36.21;0.6094;86.38;86.38;24.0057621;0;100;12497
120040;RIO BRANCO;77.32;38.5;3.61;348;8.9;8.69;18946.97;4.91;91.82;0.6121;53.36;79.14;81.77336121;3.814500809;99.38271332;419452
120042;RODRIGUES ALVES;18.44;80.77;37.21;137;31.6;6.96;9511.2;49.98;29.99;0.6463;100;100;0;0;0;19767
120043;SANTA ROSA DO PURUS;97.99;79.49;36.48;82;33.1;4.22;8395.15;50.49;40.33;0.7758;52.75;52.75;72.53735352;29.01494217;100;6893
120045;SENADOR GUIOMARD;36.91;49.84;10.09;344;18;7.28;14081.15;27.74;62.95;0.559;100;100;46.91631699;4.265120029;100;23446
120050;SENA MADUREIRA;106.74;59.46;16.2;161;24.1;8.66;10585.07;34.12;66.03;0.5485;100;100;42.40162659;4.240162849;100;47168
120060;TARAUACA;69.16;73.19;28.24;118;32.1;3.67;8927.12;40.67;54.37;0.6481;72.94;72.94;61.74251175;0;97.86096191;43730
120070;XAPURI;53.8;59.61;16.35;190;20.8;4.48;9893.79;29.91;64.2;0.59;100;100;15.10117817;5.033725739;100;19866
120080;PORTO ACRE;34.07;66.94;14.95;277;22.2;3.57;10764.93;44;13.32;0.6121;93.22;100;73.14142609;5.224387646;100;19141
130002;ALVARAES;66.5;81.86;25.08;130;27.1;3.09;5997.74;35.55;55.98;0.5881;64.52;64.52;6.099048615;0;0;16396
130006;AMATURA;141.51;84.68;32.96;93;25.2;8;5731.9;32.45;52.39;0.6698;89.72;89.72;50.27651978;0;72.22222137;11934
130008;ANAMA;106.58;71.21;29.75;145;14.4;7.87;7248.92;45.46;40.87;0.5807;100;100;13.99384308;0;0;14292
130010;ANORI;76.36;75;26.71;113;17;9.38;8398.38;33.82;61.29;0.5984;100;100;27.35105133;4.558508396;100;21937
130014;APUI;129.43;58.19;9.77;213;11.1;6.69;8265.08;42.01;58.84;0.5753;100;100;21.98865318;4.397730827;100;22739
130020;ATALAIA DO NORTE;82.86;83.47;24.55;149;38.6;7.99;5846.89;61.98;45.49;0.6594;100;100;28.75215721;9.584052086;100;20868
130030;AUTAZES;83.11;74.09;24.67;181;15.6;5.26;5606.45;45.37;43.23;0.5982;100;100;70.7230835;12.19363499;75;41005
130040;BARCELOS;42.05;75.75;20.94;129;24.6;9.93;4960.69;46.64;43.38;0.7367;87.81;87.81;50.41048431;0;100;27772
130050;BARREIRINHA;56.03;84.05;42.86;104;8.9;11.43;6599.64;44.62;45.4;0.6049;96.91;96.91;30.37759399;3.037759304;100;32919
130060;BENJAMIN CONSTANT;22.87;78.5;29.1;106;21.5;6.13;6337.34;37.11;60.27;0.5665;80.26;87.24;26.74213982;2.228511572;91.1111145;44873
130063;BERURI;95.69;78.99;34.13;159;27.1;5.5;6233.39;37.6;50.23;0.6574;70.13;90.4;29.26400948;4.877335072;71.42857361;20503
130068;BOA VISTA DO RAMOS;121.74;82.02;37.5;105;6.3;7.3;5950.97;42.26;50.4;0.6097;100;100;14.97006035;0;100;20040
130070;BOCA DO ACRE;60.72;72.45;21.34;161;26.8;8.14;7241.46;36.77;63.16;0.6427;70.39;70.39;68.65381622;0;100;34958
130080;BORBA;116.15;76.26;38.5;107;15.7;10;6223.27;44.16;41.29;0.6364;58.67;58.67;18.90001869;2.362502337;100;42328
130083;CAAPIRANGA;94.61;72.68;21.83;175;14.7;4.91;9265.87;34.23;46.83;0.597;100;100;22.25189209;7.417297363;0;13482
130090;CANUTAMA;70.56;78.37;24.74;222;27.8;4.69;5527.16;51.57;52.46;0.6185;100;100;6.257430553;0;100;15981
130100;CARAUARI;69.4;76.73;31.44;92;27.2;3.84;7850.72;21.6;76.6;0.5402;73.16;83.76;17.41007614;6.964030743;100;28719
130110;CAREIRO;85.49;77.59;24.88;160;13.6;6.91;5548.64;55.58;28.83;0.6668;100;100;64.39979553;5.151983738;82.5242691;38820
130115;CAREIRO DA VARZEA;49.47;75.42;19.68;206;19.6;3.77;8773.79;79.98;4.18;0.5722;100;100;41.32362747;3.178740501;71.42857361;31459
130120;COARI;78.58;64.95;18.89;125;17.3;10.51;55978.65;34.8;65.36;0.6234;72.98;72.98;61.12117004;3.459688902;56.52173996;86713
130130;CODAJAS;156.54;77.84;31.07;100;18;9.11;19209.47;31.65;68.11;0.6153;84.33;84.33;33.68024063;0;93.75;29691
130140;EIRUNEPE;77.13;74.68;29.47;100;29.6;7.68;10226.49;39.94;72.28;0.6237;88.03;88.03;11.07389069;5.536945343;100;36121
130150;ENVIRA;154.5;80.23;33.12;91;34.2;11.84;6513.12;34.11;64.59;0.6374;100;100;28.9184494;0;100;20748
130160;FONTE BOA;85.35;78.15;36.03;82;25.2;6.15;6071.92;31;66.24;0.631;100;100;36.56529999;6.094216824;16;16409
130165;GUAJARA;65.98;83.21;35.96;104;34.3;3.72;6097.05;47.71;53.15;0.7397;100;100;46.53056335;0;100;17193
130170;HUMAITA;141.18;65.3;17.5;154;16;9.45;7488.06;25.96;68.96;0.6751;87.69;87.69;61.19416046;3.496809244;100;57195
130180;IPIXUNA;68.42;86.42;33.02;96;40.2;5.07;4212.48;58.72;42.68;0.5863;69.72;69.72;22.45605087;0;0;31172
130185;IRANDUBA;79.52;63.21;13.24;300;12.1;5.9;11176.73;16.04;71.06;0.6029;100;100;120.6806412;10.05671978;97.88359833;49718
130190;ITACOATIARA;156.14;59.68;16.04;211;8.9;8.99;15328.94;24.2;66.97;0.5969;78.3;99.03;58.62791443;2.88334012;97.27890778;104046
130195;ITAMARATI;100;90.05;40.07;73;39.4;5.86;8942.52;54.59;55.64;0.7761;100;100;115.7258606;0;100;7777
130200;ITAPIRANGA;127.13;69.81;20.07;158;6.7;9.82;7856.77;22.15;78.57;0.6732;100;100;21.47766304;0;100;9312
130210;JAPURA;93.62;80.1;20.68;200;29.8;11.28;8403.24;45.45;45.02;0.5986;100;100;170.9401703;0;100;1755
130220;JURUA;7.11;76.64;34.52;135;32.5;7.67;6821.23;42.49;52.64;0.6056;100;100;19.36108398;0;100;15495
130230;JUTAI;39.45;83.2;39.33;109;30.6;5.19;10389.73;36.84;58.65;0.694;100;100;74.28316498;0;65.51724243;13462
130240;LABREA;88.89;73.44;32.56;139;29.2;8.75;9182.74;41.29;64.21;0.5991;89.87;89.87;37.74771881;0;100;47685
130250;MANACAPURU;83.5;62;16.03;249;15.3;9.51;13399.22;23.74;70.68;0.5688;85.03;91.68;119.4623184;10.03885078;95.89552307;99613
130255;MANAQUIRI;89.16;74.42;21.11;160;12.6;7.46;6882.06;62.9;30.97;0.5766;32.24;61.77;29.4282093;5.885642052;75;33981
130260;MANAUS;140.23;37.78;3.14;255;3.9;10.79;32300.56;0.94;99.49;0.6334;45.52;67.28;113.6573715;5.806987286;64.91624451;2255903
130270;MANICORE;125.3;68.83;23.79;207;18.3;7.33;7851.75;49.63;43.28;0.6074;68.07;68.07;43.55021286;3.484017134;96.29629517;57405
130280;MARAA;64.75;86.74;34.29;103;23.4;17.67;5296.83;47.76;49.94;0.6977;100;100;16.39523506;0;90.90908813;18298
130290;MAUES;85.39;76.63;33.46;105;9.4;4.3;6272.63;47.17;49.45;0.6452;86.38;86.38;45.3453064;1.511510134;97.54098511;66159
130300;NHAMUNDA;92.66;79.86;35.17;121;9.1;14.3;6521.14;53.88;38.35;0.6586;100;100;13.81851673;9.21234417;71.42857361;21710
130310;NOVA OLINDA DO NORTE;3.02;76.39;29.5;121;10.4;5.84;4670.23;48.62;44.39;0.6337;92.3;92.3;31.03582001;5.172636986;90;38665
130320;NOVO AIRAO;23.1;70.13;18.31;180;18.1;5.78;5542.73;32.23;64.52;0.6037;53.2;53.2;68.64427185;4.903162479;100;20395
130330;NOVO ARIPUANA;76.42;72.69;26.08;162;21;8.58;5988.06;61.01;65.61;0.5749;94.17;94.17;7.563438416;0;100;26443
130340;PARINTINS;109.25;66.72;21.09;129;5.8;8.68;9254.78;26.37;68.5;0.5947;81.52;85.87;40.36448288;2.576456308;100;116439
130350;PAUINI;62.08;81.29;35.75;106;31.1;10.55;5890.97;47.13;51;0.7268;53.28;84.17;35.68515396;0;100;19616
130353;PRESIDENTE FIGUEIREDO;48.09;51.63;8.14;357;7.7;5.63;23158.89;30.28;47.84;0.5384;100;100;57.7503624;0;73.68421173;38095
130356;RIO PRETO DA EVA;73.03;60.62;8.51;292;12.1;15.74;11260.63;46.59;47.46;0.5566;100;100;63.1168251;8.60683918;60;34856
130360;SANTA ISABEL DO RIO NEGRO;64.06;85.3;28.14;113;38.5;5.71;5001.2;53.57;37.78;0.7279;54.86;54.86;30.11367989;0;55.55555725;26566
130370;SANTO ANTONIO DO ICA;104.37;87.31;35.49;137;24.4;7.18;5217.92;41.68;52.89;0.6738;100;100;43.08487701;9.574417114;100;20889
130380;SAO GABRIEL DA CACHOEIRA;53.12;76.59;19.71;131;16.7;4.33;5211.59;47.5;50.28;0.8082;53;63.93;93.55531311;8.505028725;72.80701447;47031
130390;SAO PAULO DE OLIVENCA;39.83;85.17;35.83;101;25.1;3.54;4962.23;62.28;45.39;0.6433;79.01;79.01;46.52643585;4.897519588;66.66666412;40837
130395;SAO SEBASTIAO DO UATUMA;124.88;73.26;21.79;126;10.4;1.85;6097.01;31.47;55.15;0.5781;98.43;98.43;47.69042206;13.62583447;68.42105103;14678
130400;SILVES;86.19;73.19;28.8;143;5.7;10.55;9382.85;47.98;47.71;0.5713;100;100;21.53084373;10.76542187;100;9289
130406;TABATINGA;94.86;70.68;26.06;96;13.9;7.81;5627.91;20.5;69.55;0.6618;78.59;78.59;81.74943542;4.379434109;99.09502411;68502
130410;TAPAUA;102.65;77.12;31.89;130;31.5;4.82;8327.06;38.44;55.66;0.6021;100;100;35.55344772;0;100;16876
130420;TEFE;159.38;62.29;16.11;150;13.9;6.58;8602.82;14.6;81.48;0.6293;98;98;173.8396606;1.687763691;89.79057312;59250
130423;TONANTINS;70.39;78.38;28.8;100;18.9;6;5496.7;62.29;52.1;0.5448;100;100;26.2632637;0;77.77777863;19038
130426;UARINI;87.43;80.54;33.09;154;18.8;1.52;8294.22;38.78;57.14;0.6129;100;100;21.67786598;0;100;13839
130430;URUCARA;155.71;75.65;27.65;133;8.8;6.24;14799.29;20.38;57.83;0.6091;100;100;43.73086929;0;100;16007
130440;URUCURITUBA;156.01;73.84;26.72;163;9.6;8.71;5489.48;34.36;58.57;0.5813;100;100;66.39555359;4.149722099;86;24098
140002;AMAJARI;9.87;86.62;21.26;211;39.8;21.71;11656.06;58.87;13.07;0.7502;100;100;58.99269867;14.74817467;22.22222137;13561
140005;ALTO ALEGRE;6.38;77.9;16.76;236;39.9;4.53;11154.26;48.84;29.06;0.7369;100;100;104.9249115;6.557806969;88.8888855;15249
140010;BOA VISTA;112.13;34.81;3.77;261;5.7;7.33;21663.69;2.01;97.71;0.5936;49.26;76.58;77.41799164;2.519520521;94.70864105;436591
140015;BONFIM;51.94;73.09;24.46;221;13;5.95;16851.71;43.56;33.91;0.7323;100;100;23.62018776;0;0;12701
140017;CANTA;34.85;69.69;23.29;315;18.2;5.19;12048.4;47.8;16.24;0.6673;100;100;46.73625183;5.19291687;95.45454407;19257
140020;CARACARAI;13.69;63.6;15.28;209;12.9;8.31;13345.43;30.5;59.3;0.567;100;100;39.76143265;8.835873604;100;22635
140023;CAROEBE;108.74;61.64;16.97;290;13.3;7.4;14247.33;44.41;40.97;0.5549;100;100;9.438414574;0;0;10595
140028;IRACEMA;15.44;68.59;16.69;256;28.3;12.19;11804.41;36.31;46.9;0.631;100;100;31.65308189;0;100;12637
140030;MUCAJAI;78.64;62.87;11.76;298;17.7;6.16;13378.41;32.64;60.4;0.7061;100;100;16.23200989;0;0;18482
140040;NORMANDIA;13.18;78.15;28.84;147;14.5;27.76;10456.9;51.82;25.85;0.712;100;100;50.96839905;0;75;11772
140045;PACARAIMA;66.34;69.08;23.93;158;10.9;4.66;11673.52;23.15;43.27;0.7429;100;100;69.62403107;0;96;20108
140047;RORAINOPOLIS;104.52;65.89;15.47;257;14.5;6.09;15563.69;33.65;43.96;0.5729;100;100;19.11619377;0;100;31387
140050;SAO JOAO DA BALIZA;102.38;57.93;11.1;233;11.8;6.87;15338.45;19.9;70.25;0.5498;100;100;35.32736588;0;0;8492
140060;SAO LUIZ;106.6;63.43;12.81;230;12.4;8.85;13069.61;17.01;66;0.5895;100;100;36.44314957;0;81.8181839;8232
140070;UIRAMUTA;25.87;87.12;52.76;174;26.8;1.68;8910.82;54.71;13.59;0.778;98.02;100;45.39676666;0;88.8888855;11014
150010;ABAETETUBA;79.51;66.65;21.29;147;13;8.55;6483.67;34.66;58.82;0.5389;48.13;61.12;46.12344742;1.86986959;74.81481171;160439
150013;ABEL FIGUEIREDO;161.22;59.86;9.72;358;17;10.97;8133.17;12.53;89;0.5825;100;100;26.53927803;0;0;7536
150020;ACARA;66.53;76.68;26.31;153;20.6;7.31;16073.77;60.02;23.56;0.5355;37.24;49.81;39.4661293;5.381745338;69.2307663;55744
150030;AFUA;68.67;83.56;34.27;125;27.8;11.76;7139.74;68.63;27.05;0.6604;26.39;26.39;2.505637646;0;0;39910
150034;AGUA AZUL DO NORTE;163.31;64.59;3.52;308;13;13.52;11441.57;56.16;19.46;0.526;62.89;62.89;14.3900423;0;83.33333588;27797
150040;ALENQUER;75.23;77;32.58;133;15.5;6.56;10316.66;44.79;52.68;0.5968;30.38;30.38;33.10681152;6.969855309;91.22807312;57390
150050;ALMEIRIM;90.12;59.33;17.57;257;12.2;10.67;13106.9;27.58;59.39;0.6573;20.23;49.52;20.56162643;2.937375069;100;34044
150060;ALTAMIRA;78.09;47.66;7.39;385;12.8;6.63;29183.14;17.62;84.88;0.5721;63.22;63.22;51.14217377;2.557108879;77.63157654;117320
150070;ANAJAS;82.22;82.47;37.73;117;31.2;5.99;5739.94;63.2;38.35;0.6181;35.35;35.35;16.61626434;3.323252916;0;30091
150080;ANANINDEUA;44.21;39.64;3.55;166;3.4;10.98;11091.16;1.46;99.75;0.5352;70.87;83.61;72.3524704;6.291519165;67.27272797;540410
150085;ANAPU;95.88;67.34;23.3;226;19;3.59;8676.67;55.03;47.87;0.5855;74.22;74.22;23.88100433;3.41157198;80.7692337;29312
150090;AUGUSTO CORREA;96.05;83.21;45.17;108;23.7;3.81;5932.35;35;45.04;0.5682;100;100;34.08824539;0;100;46937
150095;AURORA DO PARA;96.15;79.91;27.49;150;24.1;8.01;8155.47;40.11;30.77;0.5846;44.04;44.04;31.05590057;3.105590105;42.8571434;32200
150100;AVEIRO;104.79;84.84;38.75;163;13.3;6.07;5497.61;60.07;20.06;0.6049;100;100;12.17952633;0;100;16421
150110;BAGRE;48.3;85.93;33.92;103;23.9;12.11;4275.6;55.59;44.67;0.4831;56.24;56.24;6.256452084;0;0;31967
150120;BAIAO;101.57;71.53;24.68;149;13.8;4.1;6359.99;32.95;50.31;0.5428;58.17;64.49;16.17664909;2.022081137;100;49454
150125;BANNACH;108.77;60.57;12.47;368;15;6.16;15351.06;54.57;37.37;0.6263;100;100;0;0;0;3239
150130;BARCARENA;106.08;52.16;11.15;367;8.1;13.11;26663.02;14.97;36.35;0.5734;85.78;89.87;57.98984146;4.639187336;82.38095093;129333
150140;BELEM;83.89;36.23;3.28;271;3.3;10.07;18074.07;1.43;99.14;0.6284;23.11;39.97;91.27600861;8.828879356;31.88214684;1506420
150145;BELTERRA;120.39;73.37;26.48;158;11.8;12.01;15904.36;33.96;41.99;0.5922;100;100;16.71867943;5.57289362;0;17944
150150;BENEVIDES;98.42;52.32;6.32;295;6.3;13.6;16852.9;8.76;55.98;0.492;100;100;58.66007996;1.543686271;98.19819641;64780
150157;BOM JESUS DO TOCANTINS;109.45;60;12.87;269;21.5;6.23;6771.48;34.88;53.33;0.5297;100;100;11.59151459;0;100;17254
150160;BONITO;76.73;74.46;23.04;167;22.5;6.55;5377.66;32.21;28.08;0.5122;100;100;71.56061554;5.963384628;75;16769
150170;BRAGANCA;119.02;67.27;20.16;158;15.3;5.75;8270.88;30.13;64.14;0.5843;100;100;71.47138977;3.074038267;98.5;130122
150172;BRASIL NOVO;98.63;63.03;14.75;400;18.7;4.05;10196.92;44.75;43.97;0.6838;100;100;60.47167969;0;100;14883
150175;BREJO GRANDE DO ARAGUAIA;114.95;66.41;16.51;260;19.5;3.94;6954.64;28.96;58.88;0.5805;100;100;13.59249687;0;100;7357
150178;BREU BRANCO;83.92;72.02;19.89;176;19.6;12.69;9731.14;28.68;55.83;0.5358;31.34;31.34;16.03568649;0;90.47618866;68597
150180;BREVES;66.79;79.7;30.88;117;25.8;8.46;5780.52;44.93;50.14;0.5828;50.39;50.39;33.56348419;0;46.8531456;104280
150190;BUJARU;39.12;81.8;30.12;137;14.8;3.27;16528.57;57.47;31.52;0.5382;59.21;59.21;40.38092804;0;70.58823395;29717
150195;CACHOEIRA DO PIRIA;78.91;89.34;40.8;109;32.7;4.98;4695.08;74.04;20.89;0.5805;91.59;91.59;22.65839577;0;100;35307
150200;CACHOEIRA DO ARARI;74.52;74.93;27.34;156;14.8;10.34;6569.96;42.69;35.98;0.6134;0;0;28.74153137;0;86.95652008;24355
150210;CAMETA;87.73;75.44;31.53;117;10.4;6.49;5779.65;46.29;43.71;0.581;37.53;53.3;47.58049774;2.840626717;92.64705658;140814
150215;CANAA DOS CARAJAS;107.15;48.1;6.32;307;9.6;10.75;118954.21;13.23;77.58;0.5686;100;100;43.47492599;5.11469698;96.875;39103
150220;CAPANEMA;104.37;57.31;16.23;149;14;8.88;12919.61;9.17;79.72;0.5348;99.96;99.96;38.66643906;2.864180565;89.65517426;69828
150230;CAPITAO POCO;63.34;74.15;27.99;148;24.1;5.83;7004.24;27.79;41.32;0.5837;100;100;36.66697311;0;66;54545
